,0
0,0.8267829856300665
1,0.8462407842124074
2,0.8534801773380261
3,0.8697520007068698
4,0.8697520007068698
5,0.8720964598808276
6,0.8887199493984159
7,0.8948896778147317
8,0.900559211250711
9,0.8983184364560631
10,0.905044038830743
11,0.905044038830743
12,0.905044038830743
13,0.9102456548588302
14,0.9140035966161556
15,0.9187952403130594
16,0.9187952403130594
17,0.9173821790364716
18,0.9173821790364716
19,0.9173821790364716
20,0.9173821790364716
21,0.9232824076254974
22,0.9232824076254974
23,0.9280582929234893
24,0.9280582929234893
25,0.9280582929234893
26,0.9258897785285536
27,0.9287944383885889
28,0.9287944383885889
29,0.9287944383885889
30,0.9287944383885889
31,0.9287944383885889
32,0.9287944383885889
33,0.9302044465377375
34,0.9302044465377375
35,0.9313147610283323
36,0.9313147610283323
37,0.9313147610283323
38,0.9313147610283323
39,0.9313147610283323
40,0.9313147610283323
41,0.9313147610283323
42,0.9318532454023558
43,0.9348271443629664
44,0.9348271443629664
45,0.9348271443629664
46,0.9348271443629664
47,0.9339908233132812
48,0.9377374229867896
49,0.9377374229867896
50,0.940173314054751
51,0.940173314054751
52,0.940173314054751
53,0.940173314054751
54,0.9405680911960532
55,0.9405680911960532
56,0.9405680911960532
57,0.9405680911960532
58,0.9405680911960532
59,0.9405680911960532
60,0.9405680911960532
61,0.9405680911960532
62,0.9405680911960532
63,0.9405680911960532
64,0.9405680911960532
65,0.9405680911960532
66,0.9405680911960532
67,0.9405680911960532
68,0.9405680911960532
69,0.9405680911960532
70,0.9405680911960532
71,0.9405680911960532
72,0.9405680911960532
73,0.9405680911960532
74,0.9405680911960532
75,0.9405680911960532
76,0.9414615345287474
77,0.9414615345287474
78,0.9414615345287474
79,0.9414615345287474
80,0.9414615345287474
81,0.9414615345287474
82,0.9414615345287474
83,0.9414615345287474
84,0.9414615345287474
85,0.9417347411309026
86,0.9417347411309026
87,0.9417347411309026
88,0.9417347411309026
89,0.9417347411309026
90,0.9429012121598042
91,0.9429012121598042
92,0.9429012121598042
93,0.9429012121598042
94,0.9429012121598042
95,0.9429012121598042
96,0.9429012121598042
97,0.9429012121598042
98,0.9429012121598042
99,0.9429012121598042
100,0.9429012121598042
101,0.9429012121598042
102,0.9429012121598042
103,0.9429012121598042
104,0.9429012121598042
105,0.9429012121598042
106,0.9429012121598042
107,0.9429012121598042
108,0.9429012121598042
109,0.9429012121598042
110,0.9429012121598042
111,0.9429012121598042
112,0.9429012121598042
113,0.9429012121598042
114,0.9429012121598042
115,0.9429012121598042
116,0.9429012121598042
117,0.9427703415272503
118,0.9521736241003212
119,0.9521736241003212
120,0.9521736241003212
121,0.9521736241003212
122,0.9521736241003212
123,0.9521736241003212
124,0.9521736241003212
125,0.9521736241003212
126,0.9521736241003212
127,0.9521736241003212
128,0.9521736241003212
129,0.9521736241003212
130,0.9521736241003212
131,0.9521736241003212
132,0.9521736241003212
133,0.9521736241003212
134,0.9521736241003212
135,0.9521736241003212
136,0.9521736241003212
137,0.9521736241003212
138,0.9521736241003212
139,0.9521736241003212
140,0.9521736241003212
141,0.9521736241003212
142,0.9521736241003212
143,0.9521736241003212
144,0.9521736241003212
145,0.9521736241003212
146,0.9521736241003212
147,0.9521736241003212
148,0.9521736241003212
149,0.9521736241003212
150,0.9521736241003212
