Column,Statistic,P-value,r,FDR_P-value
2,7670.0,0.3930188849695454,0.054966665533680306,0.4912736062119317
3,5388.0,0.0007583264758243099,-0.21653534907207392,0.0018958161895607747
1,8109.0,0.09558037266506948,0.1071968953373289,0.16239258050385094
5,7324.0,0.8307258719266741,0.013801154116681634,0.8307258719266741
4,7017.0,0.724401701088405,-0.02272431410591545,0.8048907789871166
6,5316.0,0.0004637940654260546,-0.22510158266173838,0.0015459802180868487
9,10168.0,4.313303761759547e-08,0.3521673809084279,4.3133037617595466e-07
10,6502.0,0.1916082833932231,-0.08399667936532099,0.2737261191331759
8,5244.0,0.0002789546994012241,-0.23366781625140284,0.0013947734970061205
7,6312.0,0.09743554830231056,-0.1066020180047133,0.16239258050385094
