Column,Statistic,P-value,r,FDR_P-value
1,8795.0,0.003321165359793247,0.18881406537218753,0.007698592049184208
2,8682.0,0.006387621290669892,0.17536983765507524,0.011497718323205806
3,5505.0,0.00162695948741135,-0.20261521948886918,0.007321317693351076
4,5110.0,0.00010355658710013108,-0.2496105287655006,0.0009320092839011797
5,8790.0,0.003421596466304092,0.18821918803957194,0.007698592049184208
8,7305.0,0.858248107253239,0.011540620252742401,0.858248107253239
7,6965.0,0.6535579127225515,-0.02891103836511756,0.8402887449289947
6,6417.0,0.14344472417647774,-0.09410959401978597,0.21516708626471662
9,7086.0,0.8220762151684204,-0.01451500691582034,0.858248107253239
