Column,Statistic,P-value,r,FDR_P-value
1,11056.0,0.5997931068224301,0.030693574188885735,0.7797310388691592
2,13019.0,0.0012005245843096672,0.18925011664357705,0.007480428507525197
4,9142.0,0.03398715018429152,-0.1239051126467124,0.0736388253992983
8,7417.5,6.651949936871332e-06,-0.26319739866969516,8.647534917932731e-05
6,11359.0,0.34535548568511565,0.055167660976339364,0.5300782321701758
7,9393.0,0.0761968883574955,-0.10363119916931683,0.1415085069496345
5,8409.0,0.0017262527325058149,-0.18311140180579988,0.007480428507525197
11,10023.0,0.36697723765627555,-0.05274448406669049,0.5300782321701758
3,10914.0,0.7426321042067403,0.019223870149881066,0.8124569211950253
10,10907.0,0.7499602349492542,0.018658462204296327,0.8124569211950253
13,10704.0,0.9696704035301797,0.0022616317823389485,0.9696704035301797
12,8748.0,0.007699446524010996,-0.1557295027267676,0.025023201203035736
9,9087.0,0.028072400264348853,-0.12834760364773537,0.07298824068730701
