Column,Statistic,P-value,r,FDR_P-value
2,11367.0,0.33973544225120855,0.05581384148557906,0.47562961915169194
1,10941.0,0.714589825485136,0.02140472936856505,0.764685135773174
4,12765.0,0.0038823277219022837,0.16873388547521656,0.018117529368877325
3,12788.0,0.003507421155201412,0.1705916544392807,0.018117529368877325
11,11743.0,0.14033435379840417,0.08618432541984494,0.28066870759680834
5,9904.0,0.2861155862107445,-0.062356419141631016,0.47562961915169194
7,11764.0,0.13268904610783708,0.08788054925659915,0.28066870759680834
10,10155.0,0.4717433911795199,-0.04208250566423544,0.5503672897094399
6,9308.0,0.05866280294357478,-0.11049686707998864,0.1642558482420094
9,10088.0,0.4166310444825786,-0.04749426742911793,0.5302576929778273
8,10459.0,0.764685135773174,-0.017527646313126855,0.764685135773174
12,11397.0,0.31916915040478855,0.05823701839522793,0.47562961915169194
13,8980.0,0.01906700521130075,-0.13699026795881633,0.06673451823955262
14,8197.0,0.0006104387919847961,-0.20023518530065193,0.008546143087787146
