Column,Statistic,P-value,r,FDR_P-value
2,10739.0,0.9311383244270204,0.005088671510262635,0.9311383244270204
1,10778.0,0.8883958541589407,0.008238801492806171,0.9311383244270204
3,13870.0,1.0084874520471049e-05,0.2579875683139501,0.00017144286684800785
6,8969.0,0.01830385777473389,-0.13787876615902092,0.03457395357449735
10,12751.0,0.004127959483878687,0.1676030695840471,0.010748626300538825
4,13386.0,0.00017955893958285379,0.21889364750494827,0.0015262509864542573
5,9095.0,0.028873707415119104,-0.12770142313849564,0.04908530260570248
9,11503.0,0.2531534681631433,0.06679891014265395,0.30740063991238836
11,8310.0,0.0010733799519333966,-0.19110788560764116,0.0036494918365735486
17,10088.0,0.4166310444825786,-0.04749426742911793,0.47218185041358907
7,11925.0,0.08431489524070639,0.10088493200504811,0.1303048380992735
8,12506.0,0.011423338987240735,0.1478137914885813,0.024274595347886563
16,13192.0,0.0005052764981345406,0.20322377015588555,0.002863233489429063
12,8617.0,0.004425904947280693,-0.1663107085655677,0.010748626300538825
14,9775.0,0.2131185139360956,-0.07277607985312118,0.2786934413010481
15,13074.0,0.0009170936497144395,0.19369260764459997,0.0036494918365735486
13,9730.0,0.19112258866448917,-0.07641084521759449,0.2707570006080263
