Column,Statistic,P-value,r,FDR_P-value
4,7178.0,0.956457591093998,-0.0035692639956935264,0.956457591093998
1,7006.0,0.7091922853518955,-0.02403304423766974,0.8510307424222745
2,6577.0,0.24323259595506985,-0.07507351937608717,0.3648488939326048
6,5422.0,0.0009509569276438675,-0.21249018321028793,0.00380382771057547
5,8681.0,0.006423554029474744,0.17525086218855213,0.012847108058949489
3,8391.0,0.028625945677344514,0.14074797689684806,0.04907304973259059
10,6887.0,0.5530535405715128,-0.03819112475392073,0.737404720762017
9,10134.0,6.142224855054135e-08,0.3481222150466419,7.370669826064962e-07
12,7330.0,0.8220759929721198,0.01451500691582034,0.8968101741514034
7,4356.0,1.3085982025923372e-07,-0.3393180305239312,7.851589215554023e-07
8,5691.0,0.005003878933876644,-0.1804857827155693,0.012009309441303946
11,5690.0,0.004974167088513158,-0.1806047581820924,0.012009309441303946
