Column,Statistic,P-value,r,FDR_P-value
2,7387.0,0.741118792617178,0.02129660850763804,0.8234653251301977
1,4693.0,3.2572002860155243e-06,-0.29922329830564065,1.628600143007762e-05
6,6049.0,0.03201770800275786,-0.13789256570029323,0.07281202121359925
4,5327.0,0.000500523999642587,-0.2237928525299841,0.0016684133321419568
3,7705.0,0.35812944908267685,0.05913080686198941,0.5116134986895384
5,8178.0,0.072753469616916,0.115406202527424,0.12125578269486001
9,10543.0,6.756671719867165e-10,0.39678318085459696,6.7566717198671645e-09
10,7227.0,0.9726855478211726,0.0022605338639392334,0.9726855478211726
8,6779.0,0.42773186618410963,-0.051040475138417425,0.534664832730137
7,8339.0,0.03640601060679963,0.13456125263764593,0.07281202121359925
