Column,Statistic,P-value,r,FDR_P-value
2,12852.0,0.0026309911367148804,0.1757610985131983,0.004871685561936474
1,11105.0,0.5535521209463301,0.0346514298079789,0.6038750410323601
3,8608.0,0.004256035945787115,-0.16703766163846234,0.006384053918680673
5,8196.0,0.0006076719599740249,-0.2003159578643069,0.0024306878398960997
4,9036.0,0.023403739282847242,-0.13246700439413844,0.031204985710462988
6,11548.0,0.22822645497985006,0.07043367550712726,0.27387174597582004
8,7594.0,2.0397189254215257e-05,-0.24894104118459429,0.00012238313552529156
9,13004.0,0.0012908287341432119,0.18803852818875258,0.0038724862024296356
12,11028.0,0.6269774419475446,0.028431942406546784,0.6269774419475446
10,14219.0,9.6878370535609e-07,0.286177193029532,1.162540446427308e-05
7,8395.0,0.0016156828439621634,-0.18424221769696938,0.003877638825509192
11,12835.0,0.0028418165777962766,0.17438796493106395,0.004871685561936474
