Column,Statistic,P-value,r,FDR_P-value
2,7950.0,0.16994323955352075,0.08827979616015322,0.2719091832856332
1,8886.0,0.0019043534575654165,0.19964083282579123,0.009699074544614692
3,5569.0,0.002424768636153673,-0.19500078963138964,0.009699074544614692
4,5420.0,0.0009384773635637025,-0.21272813414333416,0.00750781890850962
7,5370.0,0.0006716587697355287,-0.21867690746949003,0.00750781890850962
8,6124.0,0.04492357099185582,-0.12896940571105941,0.10268244798138473
14,6413.0,0.14143098277876867,-0.09458549588587845,0.25143285827336653
11,6547.0,0.2215246744492425,-0.0786427833717807,0.29536623259899003
5,7874.0,0.21805226568269176,0.07923766070439628,0.29536623259899003
13,6057.0,0.03322297366660663,-0.13694076196810828,0.08859459644428434
12,5854.0,0.012241155948210333,-0.16109278167230115,0.03917169903427307
16,6364.0,0.11848287498282659,-0.1004152937455112,0.23696574996565317
6,7219.0,0.9844951527547028,0.001308730131754293,0.9844951527547028
9,7381.0,0.7495238073847008,0.020582755708499333,0.9224908398580933
10,7221.0,0.9815422629238995,0.001546681064800528,0.9844951527547028
15,7238.0,0.9564543034646669,0.0035692639956935264,0.9844951527547028
