Column,Statistic,P-value,r,FDR_P-value
2,8270.0,0.04945466578056391,0.12635194544755082,0.08901839840501503
1,8923.0,0.0015074841337061474,0.20404292508714658,0.00542694288134213
6,6998.0,0.6982010593695067,-0.024984847969854684,0.7392717099206542
7,5709.0,0.005546112181643767,-0.1783442243181532,0.012478752408698475
4,5469.0,0.0012924180624628878,-0.2068983362837014,0.00542694288134213
5,7567.0,0.5069963494204626,0.0427121924817992,0.5703708930980205
3,5314.0,0.00045740533927704984,-0.22533953359478462,0.00542694288134213
13,7806.0,0.26878153616831113,0.07114732898082429,0.3455762607878286
18,6507.0,0.19480254214106274,-0.08340180203270539,0.3187677962308299
10,6563.0,0.2329251785531442,-0.0767391759074108,0.32251178568896893
11,5380.0,0.0007185599221094455,-0.21748715280425884,0.00542694288134213
9,5853.0,0.012172748184483289,-0.16121175713882427,0.024345496368966577
15,7269.0,0.9108432007026317,0.00725750345791017,0.9108432007026317
14,6815.0,0.4675622443777099,-0.046757358343585194,0.5610746932532519
8,5432.0,0.0010153843700810975,-0.21130042854505676,0.00542694288134213
12,5700.0,0.005268793500921896,-0.17941500351686127,0.012478752408698475
17,7867.0,0.22292695005110041,0.07840483243873446,0.32251178568896893
16,5595.0,0.0028387068070679124,-0.1919074275017886,0.008516120421203737
