Column,Statistic,P-value,r,FDR_P-value
2,8641.0,0.008018080854664154,0.17049184352762745,0.014156897376088183
1,8782.0,0.0035881071743487673,0.187267384307387,0.011218300975596953
3,5780.0,0.008240534496522891,-0.16989696619501182,0.014156897376088183
8,7706.0,0.3571620322328257,0.05924978232851254,0.39918109484845227
4,5286.0,0.00037602601296659916,-0.2286708466574319,0.0023814980821217947
6,7353.0,0.7891260638859546,0.01725144264585204,0.7891260638859546
7,5675.0,0.004562591602728823,-0.18238939017993921,0.011218300975596953
15,9026.0,0.0007685467751922134,0.21629739813902768,0.003650597182163014
9,6529.0,0.20919370940317927,-0.08078434176919681,0.2484175299162754
5,5795.0,0.008941198342792537,-0.16811233419716506,0.014156897376088183
19,8069.0,0.11124232880163056,0.10243787667640421,0.1409069498153987
10,5155.0,0.0001453823382999635,-0.2442566327719603,0.0013811322138496535
12,6034.0,0.029859841298056345,-0.13967719769814,0.04364130651254389
14,6069.0,0.035102562906658794,-0.13551305636983085,0.0476391925161798
11,6878.0,0.5419620574672364,-0.03926190395262879,0.5720710606598607
17,8735.0,0.004723495147619769,0.1816755373808005,0.011218300975596953
16,4591.0,1.2798535722631195e-06,-0.31135879589099863,2.4317217872999272e-05
13,5706.0,0.00544436588149351,-0.17870115071772255,0.011493661305375187
18,5558.0,0.0022396281824895244,-0.19630951976314395,0.008510587093460193
