Column,Statistic,P-value,r,FDR_P-value
2,11552.0,0.22609859072931027,0.07075676576174711,0.25839838940492604
3,7953.0,0.00016712410962632705,-0.2199436908324628,0.0013369928770106164
1,12813.0,0.0031375185493446593,0.17261096853065477,0.008366716131585758
4,9073.0,0.026717348275781393,-0.12947841953890482,0.042747757241250225
8,12885.0,0.0022620379272780887,0.17842659311381207,0.008366716131585758
7,10378.0,0.6808344151617757,-0.024070223969178812,0.6808344151617757
6,9388.0,0.07505862592668694,-0.10403506198759165,0.10007816790224926
5,12534.0,0.010223160762147868,0.15007542327092024,0.020446321524295735
