Column,Statistic,P-value,r,FDR_P-value
2,8833.0,0.00264131477939317,0.193335133100066,0.007923944338179511
1,8286.0,0.0461232551062348,0.1282555529119207,0.06289534787213837
3,5722.0,0.005970446474335692,-0.17679754325335265,0.012793813873576483
4,5578.0,0.0025620291751326327,-0.19393001043268157,0.007923944338179511
8,5787.0,0.008559525908775213,-0.16906413792935002,0.016049111078953526
7,5704.0,0.0053900669821128734,-0.17893910165076876,0.012793813873576483
6,7121.0,0.8728051345687207,-0.010350865587511224,0.8728051345687207
5,6297.0,0.09195319907855448,-0.10838665000256008,0.1149414988481931
13,4714.0,3.9301933905973836e-06,-0.29672481350865515,2.9476450429480376e-05
10,6610.0,0.2687833602404972,-0.07114732898082429,0.287982171686247
11,6527.0,0.20785429102833386,-0.08102229270224304,0.23983187426346214
12,8317.0,0.04020419402296891,0.13194379237413734,0.06030629103445337
14,9335.0,8.292448908117073e-05,0.253060817294671,0.0004146224454058536
9,6020.0,0.027958859340210335,-0.14134285422946363,0.04659809890035056
15,3852.0,5.281669273109714e-10,-0.39928166565158246,7.922503909664571e-09
