Column,Statistic,P-value,r,FDR_P-value
2,8172.0,0.07454230721999242,0.1146923497282853,0.12423717869998736
1,8545.0,0.013374938105795191,0.15907019874140815,0.03343734526448797
3,5786.0,0.00851472408230327,-0.16918311339587314,0.030953989632747092
4,5432.0,0.0010157079206151679,-0.21130042854505676,0.010157079206151678
6,8100.0,0.09893991977247878,0.10612611613862084,0.14134274253211254
5,7814.0,0.262426707548551,0.07209913271300923,0.29955491291623815
8,5802.0,0.009286196889824128,-0.16727950593150326,0.030953989632747092
10,6647.0,0.29955491291623815,-0.06674523671946894,0.29955491291623815
7,5989.0,0.024118514038282624,-0.1450310936916803,0.04823702807656525
9,6634.0,0.288485351666665,-0.06829191778426946,0.29955491291623815
