Column,Statistic,P-value,r,FDR_P-value
2,12233.0,0.03139552369850667,0.12576288161077653,0.06279104739701334
1,11760.0,0.13412000566034085,0.08755745900197931,0.2011800084905113
3,9088.0,0.02817197830799854,-0.12826683108408038,0.06279104739701334
4,9061.0,0.02560083921275248,-0.13044769030276437,0.06279104739701334
8,8002.0,0.0002186780168043948,-0.21598583521336961,0.0019681021512395532
7,10427.0,0.7311642160262841,-0.02011236835008565,0.7342852509148867
17,11361.0,0.34394814673413276,0.05532920610364928,0.4021948466015602
6,8770.0,0.008424760175226477,-0.15395250632635843,0.025274280525679434
9,10430.0,0.7342852509148867,-0.019870050659120765,0.7342852509148867
5,8555.0,0.003369581124372053,-0.17131860751217537,0.01213049204773939
10,10010.0,0.3575065303124979,-0.053794527394205,0.4021948466015602
16,9155.0,0.035531206467343084,-0.1228550693191979,0.06395617164121754
11,9517.0,0.10921109961733179,-0.09361540127610149,0.17870907210108836
14,9994.0,0.34606652188485165,-0.055086888412684394,0.4021948466015602
12,8544.0,0.003208445470148312,-0.17220710571237996,0.01213049204773939
13,8547.0,0.003251676465839569,-0.17196478802141507,0.01213049204773939
18,9981.0,0.33694339841637555,-0.05613693174019891,0.4021948466015602
15,6473.0,6.231606194104297e-09,-0.3394870850418072,1.1216891149387735e-07
