Column,Statistic,P-value,r,FDR_P-value
2,12820.0,0.0030405155416257023,0.1731763764762395,0.007297237299901685
1,11159.0,0.5047041806955258,0.03901314824534687,0.5505863789405736
3,8524.0,0.0029330133555616135,-0.17382255698547922,0.007297237299901685
5,10540.0,0.8513903899781552,-0.010985068657074893,0.8513903899781552
4,9461.0,0.09311820548653897,-0.09813866484077938,0.15963120940549536
6,11816.0,0.11514600049035567,0.0920807225666572,0.17036543293427608
8,7680.0,3.448960589713663e-05,-0.24199460071026752,0.0002069376353828198
9,9921.0,0.29686608645045043,-0.06098328555949666,0.3562393037405405
10,11778.0,0.12777407470070706,0.08901136514776863,0.17036543293427608
7,8486.0,0.002468190305795096,-0.17689191440436777,0.007297237299901685
12,12686.0,0.005463692809306331,0.16235285294647453,0.010927385618612662
11,14517.0,1.0969046431402603e-07,0.3102474169987108,1.3162855717683125e-06
