Column,Statistic,P-value,r,FDR_P-value
2,12340.0,0.021450410868053854,0.13440554592185752,0.030643444097219794
1,11512.0,0.24802268844982533,0.06752586321554861,0.31002836056228167
3,8788.0,0.009063104097778168,-0.15249860018056913,0.0156634956034289
5,11111.0,0.5480121449961661,0.035136065189908666,0.6089023833290734
4,8768.0,0.008356447746003595,-0.15411405145366835,0.0156634956034289
10,12721.0,0.004702536752331219,0.16517989267439823,0.0156634956034289
6,11024.0,0.6309040754492289,0.028108852151926936,0.6309040754492289
7,8797.0,0.00939809736205734,-0.15177164710767446,0.0156634956034289
8,8354.0,0.0013286417170805902,-0.1875538928068228,0.00664320858540295
9,13149.0,0.0006296911174899543,0.19975054991872215,0.006296911174899543
