Column,Statistic,P-value,r,FDR_P-value
2,9787.0,0.21928011389570712,-0.07180680908926163,0.3106468280189184
3,10073.0,0.40483409476136434,-0.04870585588394236,0.4588119740628796
1,9148.0,0.03469267047384277,-0.12342047726478263,0.05361594527775701
11,11377.0,0.3327874801141584,0.05662156712212868,0.40409908299576375
4,8532.0,0.0030404945892950055,-0.1731763764762395,0.007384058288287871
12,7746.0,5.1142932727145424e-05,-0.23666361150903997,0.000726048535738092
5,13295.0,0.000294206659070601,0.2115433442123467,0.0016671710680667387
6,12957.0,0.0016158576944577294,0.18424221769696938,0.00549391616115628
14,9130.0,0.032612991280598046,-0.12487438341057196,0.05361594527775701
9,13062.0,0.0009730568833881321,0.19272333688074045,0.004135491754399562
10,10741.0,0.9289403349573694,0.005250216637572559,0.9289403349573694
17,11116.0,0.5434162673721901,0.03553992800818348,0.577379784082952
7,13518.0,8.54174747927167e-05,0.2295556259074033,0.000726048535738092
13,8638.0,0.0048465394045636295,-0.1646144847288135,0.010298896234697713
8,11494.0,0.258358751246595,0.06607195706975928,0.33785375163016274
15,8524.0,0.0029330099637091484,-0.17382255698547922,0.007384058288287871
16,8906.0,0.014424199518175243,-0.14296743766928355,0.02724571020099768
