Column,Statistic,P-value,r,FDR_P-value
2,7731.0,0.33351609063493604,0.06222416899159047,0.35522898299373096
1,8284.0,0.0465290206559245,0.12801760197887446,0.10642366098764112
4,6537.0,0.21461389403845277,-0.07983253803701187,0.286151858717937
5,6381.0,0.1260885667487401,-0.0983927108146182,0.18913285012311018
6,8287.0,0.04591585966522154,0.12837452837844382,0.10642366098764112
9,6163.0,0.05321183049382056,-0.12432936251665783,0.10642366098764112
8,5951.0,0.02004086645920319,-0.14955216141955874,0.08016346583681276
7,6637.0,0.2910152531387252,-0.0679349913847001,0.3492183037664703
11,9038.0,0.0007088959206055765,0.2177251037373051,0.00425337552363346
3,4942.0,2.7523361965312033e-05,-0.26959840714138433,0.0003302803435837444
12,8081.0,0.10634118147653861,0.10386558227468161,0.18229916824549475
10,6708.0,0.35522898299373096,-0.05948773326155877,0.35522898299373096
