Column,Statistic,P-value,r,FDR_P-value
2,8392.0,0.028491308505507632,0.14086695236337118,0.04144190328073837
1,8699.0,0.005804002023427076,0.17739242058596824,0.013266290339261888
3,5415.0,0.0009079266724626624,-0.21332301147594976,0.0036317066898506494
4,5251.0,0.00029330943697866176,-0.23283498798574104,0.002346475495829294
10,5381.0,0.0007233924450215582,-0.21736817733773575,0.0036317066898506494
9,6054.0,0.032766515854883535,-0.13729768836767764,0.04368868780651138
7,8579.0,0.01119475369976039,0.16311536460319415,0.017911605919616623
11,6476.0,0.1757740324527146,-0.08709004149492203,0.21633727071103337
8,8748.0,0.0043807324560448105,0.183222218445601,0.011681953216119494
12,6592.0,0.25462147319854156,-0.07328888737824041,0.2909959693697618
5,5813.0,0.009852170934623955,-0.16597077579974895,0.017911605919616623
16,9420.0,4.2560966544213846e-05,0.26317373194913596,0.0006809754647074215
15,7068.0,0.7962600306549086,-0.016656565313236456,0.8493440326985692
13,7282.0,0.8917931264536026,0.008804184522710699,0.8917931264536026
6,5830.0,0.010787393969645285,-0.16394819286885598,0.017911605919616623
14,5625.0,0.003401139802916749,-0.18833816350609506,0.010883647369333596
