Column,Statistic,P-value,r,FDR_P-value
2,12020.0,0.06323605250924498,0.10855832555226955,0.07904506563655622
1,11917.0,0.08632286295389258,0.10023875149580841,0.09591429217099175
3,9053.0,0.02487911367797274,-0.13109387081200405,0.0414651894632879
4,8953.0,0.017240641253038178,-0.13917112717750033,0.034481282506076356
7,6807.0,8.862905635271997e-08,-0.31250904878104974,8.862905635271997e-07
8,8818.0,0.010222898779827757,-0.15007542327092024,0.02555724694956939
6,10426.0,0.7301244696044709,-0.020193140913740613,0.7301244696044709
10,9295.0,0.05630186727335155,-0.11154691040750316,0.07904506563655622
9,8377.0,0.001483343079325026,-0.1856961238427587,0.007416715396625129
5,8541.0,0.0031657354469197263,-0.17244942340334485,0.010552451489732422
