Column,Statistic,P-value,r,FDR_P-value
2,8746.0,0.004432186030802577,0.18298426751255478,0.00975080926776567
1,8402.0,0.027177474579412216,0.14205670702860235,0.049825370062255736
3,5485.0,0.0014323798507655404,-0.2049947288193315,0.003939044589605236
4,5474.0,0.0013347264014351317,-0.20630345895108582,0.003939044589605236
5,5004.0,4.536722175267852e-05,-0.26222192821695106,0.00024951971963973183
6,6074.0,0.035912723465880765,-0.13491817903721529,0.056434279732098344
8,6256.0,0.07822798560096786,-0.11326464413000789,0.1075634802013308
10,6550.0,0.22363463086575308,-0.07828585697221134,0.2733312155025871
7,6964.0,0.6522224621629045,-0.02903001383164068,0.6522224621629045
9,5003.0,4.500515740124187e-05,-0.2623409036834742,0.00024951971963973183
11,6658.0,0.3091356275136,-0.06543650658771465,0.34004919026496006
