Column,Statistic,P-value,r,FDR_P-value
2,11736.0,0.14295622791696488,0.0856189174742602,0.1906083038892865
1,10459.0,0.7646854626203289,-0.017527646313126855,0.7979326566472996
6,8847.0,0.011468424476037978,-0.14773301892492632,0.030582465269434606
7,12515.0,0.011024568462058088,0.14854074456147595,0.030582465269434606
5,8346.0,0.0012784394083668387,-0.18820007331606253,0.01022751526693471
3,12577.0,0.008597977406983159,0.15354864350808364,0.029478779681085112
18,8624.0,0.004560978690274228,-0.16574530061998297,0.021892697713316294
16,9502.0,0.10469931198444393,-0.09482698973092593,0.1570489679766659
9,10813.0,0.8503080341096233,0.011065841220729856,0.8503080341096233
8,11808.0,0.11771939141375039,0.0914345420574175,0.1661920819958829
4,11689.0,0.16154687128980694,0.08182260698247697,0.19635320601803785
14,12296.0,0.025147651744725295,0.13085155312103916,0.054867603806673375
12,12117.0,0.04641046874216302,0.11639326422680091,0.08568086537014712
11,12401.0,0.017111599312393887,0.13933267230481022,0.041067838349745325
15,9735.0,0.1934838048302927,-0.07600698239931968,0.22112434837747738
10,9668.0,0.16362767168169823,-0.08141874416420215,0.19635320601803785
13,12042.0,0.059033188052208925,0.11033532195267873,0.09445310088353429
19,8579.0,0.003747888836941651,-0.1693800659844563,0.021892697713316294
23,9273.0,0.05248849871006728,-0.11332390680791232,0.08998028350297246
24,12669.0,0.005872044230370566,0.1609797193643402,0.023488176921482265
20,9142.0,0.03398665993165194,-0.1239051126467124,0.06797331986330388
17,8075.0,0.0003238117197111621,-0.21008943806655733,0.0038857406365339453
21,10344.0,0.6467129601259793,-0.026816491133447536,0.7055050474101593
22,7661.0,3.074572753467419e-05,-0.2435292794197118,0.0007378974608321806
