Column,Statistic,P-value,r,FDR_P-value
2,8362.0,0.032766921979886635,0.13729768836767764,0.07372557445474494
1,8972.0,0.0010987910370160606,0.20987272294677933,0.003955647733257818
3,7521.0,0.5630058443256012,0.03723932102173579,0.5630058443256012
12,6335.0,0.10634414326960737,-0.10386558227468161,0.15951621490441106
9,8176.0,0.07334531678383088,0.11516825159437778,0.13202157021089558
4,6513.0,0.19865313909794424,-0.08268794923356669,0.22348478148518727
10,7982.0,0.15225463740806391,0.09208701108889299,0.18270556488967668
8,6395.0,0.13263316049185236,-0.09672705428329456,0.18270556488967668
14,3853.0,5.345938823000991e-10,-0.39916269018505934,9.622689881401784e-09
5,5984.0,0.023544362580927212,-0.14562597102429586,0.06054264663666997
17,4578.0,1.134509306025106e-06,-0.3129054769557991,1.0210583754225955e-05
18,6780.0,0.4288106294579106,-0.050921499671894306,0.45403478413190534
7,4821.0,1.0008168738155044e-05,-0.2839944385906816,6.004901242893026e-05
11,5154.0,0.0001442898559716353,-0.24437560823848342,0.0006493043518723588
6,6183.0,0.05793747715457538,-0.12194985318619549,0.11587495430915076
16,5963.0,0.02125881016779332,-0.14812445582128134,0.06054264663666997
13,6433.0,0.15172432025604188,-0.09220598655541609,0.18270556488967668
15,6289.0,0.08913395150362491,-0.10933845373474502,0.14585555700593167
