Column,Statistic,P-value,r,FDR_P-value
2,8693.0,0.006004238492129127,0.17667856778682953,0.010827958237587459
1,8999.0,0.0009200434083693934,0.21308506054290352,0.00466070309213348
3,5453.0,0.00116517577303337,-0.2088019437480713,0.00466070309213348
4,5664.0,0.004280064452076862,-0.1836981203116935,0.010272154684984469
7,5884.0,0.014302089353880413,-0.15752351767660763,0.021453134030820623
8,5442.0,0.0010844265928215693,-0.21011067387982557,0.00466070309213348
5,5732.0,0.0063163089719260185,-0.17560778858812148,0.010827958237587459
10,5917.0,0.016916452852113545,-0.15359732728134473,0.022555270469484728
9,5601.0,0.002945564004003554,-0.1911935747026499,0.008836692012010662
11,8366.0,0.032166897758718525,0.13777359023377012,0.03860027731046223
12,8082.0,0.10594353806269234,0.10398455774120473,0.11557476879566438
6,7087.0,0.8235164993090289,-0.014396031449297223,0.8235164993090289
