Column,Statistic,P-value,r,FDR_P-value
2,11906.0,0.08914761000164324,0.09935025329560382,0.09905290000182582
1,11845.0,0.10618677851235704,0.0944231269126511,0.10618677851235704
3,9041.0,0.023829596383520026,-0.13206314157586363,0.03404228054788575
4,8914.0,0.01487288147361049,-0.14232125716004385,0.02715553328252406
8,8608.0,0.004255788980082584,-0.16703766163846234,0.016016831131003564
5,8786.0,0.008989927424813488,-0.15266014530787902,0.02247481856203372
9,8636.0,0.0048050493393010695,-0.1647760298561234,0.016016831131003564
7,12112.0,0.047174725040525854,0.1159894014085261,0.05896840630065731
6,8938.0,0.016293319969514435,-0.14038271563232474,0.02715553328252406
10,8612.0,0.00433042942553415,-0.16671457138384252,0.016016831131003564
