Column,Statistic,P-value,r,FDR_P-value
2,12008.0,0.06563077574908971,0.10758905478841,0.10500924119854353
1,12136.0,0.04360039233633467,0.11792794293624519,0.09558733639543293
3,10071.0,0.403275551764844,-0.04886740101125228,0.5030685768251983
7,8394.0,0.0016080531084323821,-0.18432299026062432,0.012864424867459057
16,10436.0,0.740543336293553,-0.019385415277190992,0.8463352414783463
6,10845.0,0.8157856434764001,0.013650563257688656,0.8701713530414935
4,8734.0,0.007267603414816944,-0.1568603186179371,0.029070413659267776
5,7491.0,1.0680976004015098e-05,-0.2572606152410554,0.00017089561606424157
15,12108.0,0.047793668197716466,0.11566631115390624,0.09558733639543293
8,12425.0,0.01562821712015322,0.14127121383252933,0.0500102947844903
13,9244.0,0.04779305716305821,-0.11566631115390624,0.09558733639543293
11,9319.0,0.060720991661519584,-0.10960836887978406,0.10500924119854353
10,11274.0,0.4087432186704737,0.04830199306566755,0.5030685768251983
14,8584.0,0.0038312551590685426,-0.16897620316618145,0.02043336084836556
9,9972.5,0.33106139366106835,-0.05682349853126609,0.48154384532519035
12,10708.0,0.965261251028492,0.0025847220369587987,0.965261251028492
