Column,Statistic,P-value,r,FDR_P-value
2,6859.0,0.5189191482028175,-0.041522437816568024,0.5621624105530523
3,7243.0,0.9490869168006124,0.004164141328309114,0.9490869168006124
1,8818.0,0.002892823762090991,0.19155050110221924,0.007521341781436577
5,6108.0,0.04185223337763952,-0.1308730131754293,0.06800987923866421
4,6065.0,0.03446688959466796,-0.13598895823592336,0.06400993781866908
7,6561.0,0.23147802685172192,-0.07697712684045704,0.3009214349072385
9,9108.0,0.0004386941643103623,0.22605338639392333,0.0014257560340086774
10,7766.0,0.3021480987956596,0.06638831031989958,0.3570841167585068
13,9115.0,0.0004177648561579375,0.22688621465958514,0.0014257560340086774
6,4686.0,3.0583260108172827e-06,-0.30005612657130243,3.975823814062467e-05
12,9478.0,2.663847817975499e-05,0.2700743090074768,0.00017315010816840743
8,8164.0,0.07698334707244907,0.11374054599610037,0.11119816799353754
11,5809.0,0.009642333245425742,-0.16644667766584142,0.020891722031755773
