Column,Statistic,P-value,r,FDR_P-value
2,11504.0,0.25258026028302294,0.06687968270630892,0.3030963123396275
1,10670.0,0.9939326877462049,-0.0004846353819297748,0.9939326877462049
4,9777.0,0.21413655608575122,-0.07261453472581124,0.28551540811433496
7,10280.0,0.5845021481159474,-0.03198593520736513,0.637638707035579
3,9392.0,0.07596849418595364,-0.1037119717329718,0.18232438604628873
9,14230.0,8.965342446477405e-07,0.2870656912297366,1.0758410935772887e-05
8,9509.0,0.10678634442700224,-0.09426158178534119,0.19091856860917006
12,8837.0,0.01102438677958111,-0.14854074456147595,0.04409754711832444
6,11634.0,0.18555511061902685,0.07738011598145404,0.2783326659285403
5,9524.0,0.11136916502201588,-0.09304999333051675,0.19091856860917006
10,12092.0,0.050338223673654474,0.11437395013542684,0.15101467102096344
11,8258.0,0.0008304167717246883,-0.19530805891769923,0.00498250063034813
