Column,Statistic,P-value,r,FDR_P-value
2,13758.0,2.0397467517444413e-05,0.24894104118459429,0.0001223848051046665
1,11106.0,0.5526267633130594,0.03473220237163386,0.6631521159756713
8,8569.0,0.0035857777090141205,-0.17018779162100592,0.010757333127042362
5,6991.0,3.5020931412464673e-07,-0.29764689706853664,4.202511769495761e-06
6,10131.0,0.4515532732520686,-0.04402104719195454,0.6020710310027582
11,8402.0,0.0016702493105087881,-0.18367680975138462,0.0066809972420351525
7,10346.0,0.6486998460958835,-0.026654946006137614,0.7076725593773274
12,12585.0,0.008322415941787774,0.15419482401732332,0.019973798260290658
3,10577.0,0.8916737946520201,-0.007996483801841283,0.8916737946520201
4,9771.0,0.21109314007112068,-0.07309917010774102,0.316639710106681
9,9130.0,0.032612970543829785,-0.12487438341057196,0.06522594108765957
10,9519.0,0.10982443378296901,-0.09345385614879156,0.18827045791366115
