Column,Statistic,P-value,r,FDR_P-value
2,10906.0,0.751010155574072,0.018577689640641368,0.751010155574072
1,11243.0,0.43348313140443206,0.04579804359236371,0.49128088225835637
4,10040.0,0.37959396173599846,-0.05137135048455612,0.47101776052925276
6,8065.0,0.0003068537561414066,-0.21089716370310696,0.0010433027708807825
5,10039.0,0.3788375354075051,-0.05145212304821109,0.47101776052925276
12,10051.0,0.3878969792593846,-0.05048285228435153,0.47101776052925276
3,9873.0,0.2671975685564266,-0.06486036861493485,0.45423586654592524
7,9980.0,0.33624809940522526,-0.05621770430385387,0.47101776052925276
9,7791.0,6.659736526983886e-05,-0.2330288461445667,0.0004923646347337605
14,8651.0,0.005124781099482158,-0.16356444140129897,0.014520213115199446
8,9723.0,0.18786175071165412,-0.07697625316317921,0.35484997356645775
17,13344.0,0.0002259365186986262,0.21550119983143984,0.0009602302044691613
13,11890.0,0.09338758521952331,0.09805789227712443,0.19844861859148705
11,10315.0,0.6181814863487072,-0.02915889547944145,0.6568178292455014
10,8720.0,0.006857316461330076,-0.15799113450910657,0.016653482834658756
15,7837.0,8.688787671772244e-05,-0.22931330821643842,0.0004923646347337605
16,6016.0,1.1479841175111422e-10,-0.37640014663212507,1.951572999768942e-09
