Column,Statistic,P-value,r,FDR_P-value
2,8757.0,0.004156883997099968,0.18429299764430906,0.008313767994199936
1,8165.0,0.0766743169803384,0.11385952146262349,0.1022324226404512
3,5755.0,0.007181204920826791,-0.17287135285808977,0.01231063700713164
5,5315.0,0.00046058615874038013,-0.2252205581282615,0.0018423446349615205
4,5605.0,0.003017479911678435,-0.1907176728365574,0.007241951788028243
6,7559.0,0.51652295348191,0.041760388749614255,0.5634795856166291
7,6178.0,0.056724452288964514,-0.12254473051881105,0.08508667843344678
8,5508.0,0.0016581308892448595,-0.20225829308929982,0.004974392667734579
12,9718.0,3.406592208563087e-06,0.29862842097302505,2.0439553251378523e-05
10,7902.0,0.19929958141758697,0.08256897376704357,0.23915949770110434
11,10474.0,1.5046022914317396e-09,0.38857387366450186,1.8055227497180876e-08
9,7454.0,0.6495556497454349,0.029267964764686915,0.6495556497454349
