Column,Statistic,P-value,r,FDR_P-value
2,8610.0,0.009488512902250931,0.16680360406541078,0.019592154042802463
1,9068.0,0.0005782602770405116,0.22129436773299863,0.0028508749563714054
3,5369.0,0.0006671326850201482,-0.21879588293601315,0.0028508749563714054
4,5406.0,0.0008552624869114216,-0.2143937906746578,0.0028508749563714054
8,5812.0,0.009796077021401232,-0.1660897512662721,0.019592154042802463
7,6844.0,0.5010905891691784,-0.04330706981441478,0.5010905891691784
9,6271.0,0.0830418595502978,-0.11148001213216113,0.10380232443787225
6,6582.0,0.24698912261175665,-0.07447864204347159,0.2744323584575074
5,6130.0,0.04612154905491189,-0.1282555529119207,0.06588792722130271
10,5915.0,0.016746187305897414,-0.15383527821439097,0.027910312176495693
