Column,Statistic,P-value,r,FDR_P-value
2,11339.0,0.35968001700763275,0.05355220970324011,0.392378200371963
1,10344.0,0.6467130779274013,-0.026816491133447536,0.6467130779274013
3,8817.0,0.010182500329802969,-0.1501561958345752,0.046784677047318445
4,8852.0,0.011696169261829611,-0.14732915610665154,0.046784677047318445
10,12006.0,0.06603714370787574,0.10742750966110007,0.15848914489890176
5,12288.0,0.025876118369752166,0.13020537261179949,0.0776283551092565
7,11457.0,0.2805331306236496,0.06308337221452567,0.37404417416486613
6,9856.0,0.257195816165126,-0.06623350219706922,0.37404417416486613
9,9464.0,0.09392939768686645,-0.0978963471498145,0.1878587953737329
8,9978.0,0.3348622325459475,-0.05637924943116379,0.392378200371963
11,9628.0,0.14753899600242695,-0.08464964671040065,0.25292399314701763
12,8546.0,0.003237294432616762,-0.17204556058507003,0.03884753319140114
