Column,Statistic,P-value,r,FDR_P-value
2,4670.0,2.646901348118452e-06,-0.3019597340356723,2.3822112133066067e-05
1,8895.0,0.0017998409334599645,0.20071161202449928,0.00404964210028492
4,9470.0,2.843625926886847e-05,0.26912250527529186,0.00012796316670990812
5,5642.0,0.003761742756519883,-0.1863155805752021,0.006771136961735789
9,7338.0,0.8105769870830786,0.01546681064800528,0.8105769870830786
3,8558.0,0.012500488703729976,0.16061687980620867,0.016072056904795684
8,8628.0,0.008607593397843144,0.1689451624628269,0.012911390096764716
6,5306.0,0.0004326009815806717,-0.22629133732696957,0.0012978029447420153
7,8294.0,0.04452959969058135,0.12920735664410565,0.05009579965190403
